articleName,articleTime,articleUrl,articleWriter
Влияние ограничения разрядности коэффициентов фильтра на качество вейвлет-обработки изображений в оттенках серого,2016 ,https://cyberleninka.ru/article//article/n/vliyanie-ogranicheniya-razryadnosti-koeffitsientov-filtra-na-kachestvo-veyvlet-obrabotki-izobrazheniy-v-ottenkah-serogo," Червяков Николай Иванович, Ляхов Павел Алексеевич, Калита Диана Ивановна, Шульженко Кирилл Сергеевич"
Об одном алгоритме определения информационных частотных интервалов,2016 ,https://cyberleninka.ru/article//article/n/ob-odnom-algoritme-opredeleniya-informatsionnyh-chastotnyh-intervalov," Жиляков Евгений Георгиевич, Белов Сергей Павлович, Медведева Александра Александровна, Курлов Александр Васильевич, Лихолоб Петр Георгиевич"
Генерирование ключа дешифрования для криптосистемы RSA с применением минимально избыточной модулярной системы счисления,2016 ,https://cyberleninka.ru/article//article/n/generirovanie-klyucha-deshifrovaniya-dlya-kriptosistemy-rsa-s-primeneniem-minimalno-izbytochnoy-modulyarnoy-sistemy-schisleniya," Коляда Андрей Алексеевич, Чернявский Александр Федорович"
Принцип сжатия изображений на основе дискретного вейвлет-преобразования,2016 ,https://cyberleninka.ru/article//article/n/printsip-szhatiya-izobrazheniy-na-osnove-diskretnogo-veyvlet-preobrazovaniya," Червяков Николай Иванович, Ляхов Павел Алексеевич, Калита Диана Ивановна, Шульженко Кирилл Сергеевич"
Метод слепой электронной подписи на эллиптических кривых: условия и требования,2016 ,https://cyberleninka.ru/article//article/n/metod-slepoy-elektronnoy-podpisi-na-ellipticheskih-krivyh-usloviya-i-trebovaniya," Горбенко Иван Дмитриевич, Есина Марина Витальевна, Пономарь Владимир Андреевич"
Анализ метода линейного целочисленного декодирования псевдослучайных кодов,2016 ,https://cyberleninka.ru/article//article/n/analiz-metoda-lineynogo-tselochislennogo-dekodirovaniya-psevdosluchaynyh-kodov," Лавровская Тамила Валериевна, Рассомахин Сергей Геннадиевич, Малофей Александр Олегович"
Обеспечение целостности информации в автономной группе беспилотных летательных аппаратов методами модулярной арифметики,2016 ,https://cyberleninka.ru/article//article/n/obespechenie-tselostnosti-informatsii-v-avtonomnoy-gruppe-bespilotnyh-letatelnyh-apparatov-metodami-modulyarnoy-arifmetiki," Самойленко Дмитрий Владимирович, Финько Олег Анатольевич"
"Правила автоматизированного синтеза конечной марковской цепи, описывающей доведение многопакетного сообщения в соединении «Точка-точка»",2016 ,https://cyberleninka.ru/article//article/n/pravila-avtomatizirovannogo-sinteza-konechnoy-markovskoy-tsepi-opisyvayuschey-dovedenie-mnogopaketnogo-soobscheniya-v-soedinenii," Цимбал Владимир Анатольевич, Сорокин Олег Игоревич, Лягин Максим Артурович, Бережной Андрей Александрович, Крючков Никита Викторович, Хоптар Виталий Владимирович"
Применение информационной избыточности для повышения надежности арифметического узла вычислительного элемента бимодульной арифметики,2015 ,https://cyberleninka.ru/article//article/n/primenenie-informatsionnoy-izbytochnosti-dlya-povysheniya-nadezhnosti-arifmeticheskogo-uzla-vychislitelnogo-elementa-bimodulnoy," Амербаев Вильжан Мавлютинович, Балака Екатерина Станиславовна, Тельпухов Дмитрий Владимирович, Соловьев Роман Александрович"
К использованию методов распознавания образов для решения задач календарного планирования производства,1976 ,https://cyberleninka.ru/article//article/n/k-ispolzovaniyu-metodov-raspoznavaniya-obrazov-dlya-resheniya-zadach-kalendarnogo-planirovaniya-proizvodstva, С. И. Сидонская
Формализованное описание цифрового устройства и его модель,1976 ,https://cyberleninka.ru/article//article/n/formalizovannoe-opisanie-tsifrovogo-ustroystva-i-ego-model," И. П. Абрамов, Н. П. Байда, Ю. М. Комаров, В. Б. Липский, В. М. Разин"
Выбор системы признаков для различения ограниченного набора слов,1976 ,https://cyberleninka.ru/article//article/n/vybor-sistemy-priznakov-dlya-razlicheniya-ogranichennogo-nabora-slov," Н. Ф. Кучер, А. Н. Осокин"
Экономическая оптимизация технических параметров,1976 ,https://cyberleninka.ru/article//article/n/ekonomicheskaya-optimizatsiya-tehnicheskih-parametrov, А. С. Батурин
Организация динамического обмена данными при создании АСУ энергосистемы,1976 ,https://cyberleninka.ru/article//article/n/organizatsiya-dinamicheskogo-obmena-dannymi-pri-sozdanii-asu-energosistemy," А. А. Терещенко, В. И. Жульмин"
Применение компьютерных технологии в исследовании морфологии щитовидной железы,2005 ,https://cyberleninka.ru/article//article/n/primenenie-kompyuternyh-tehnologii-v-issledovanii-morfologii-schitovidnoy-zhelezy," Д. Л. Ротин, Н. Н. Петровичев, А. И. Павловская, В. Г. Никитаев, Е. Ю. Бердникович, А. Н. Проничев, Д. А. Попов, Л. B. Осипова"
Моделирование пассажиропотока на станции «Киевская» Московского метрополитена.,2017 ,https://cyberleninka.ru/article//article/n/modelirovanie-passazhiropotoka-na-stantsii-kievskaya-moskovskogo-metropolitena, Шарова Валерия Олеговна
Отраслевой формат технической документации на устройства железнодорожной автоматики и телемеханики. Часть 2: Сравнение с форматом railML®,2017 ,https://cyberleninka.ru/article//article/n/otraslevoy-format-tehnicheskoy-dokumentatsii-na-ustroystva-zheleznodorozhnoy-avtomatiki-i-telemehaniki-chast-2-sravnenie-s-formatom," Седых Дмитрий Владимирович, Зуев Денис Владимирович, Гордон Михаил Аркадьевич"
"Алгоритмы синтеза генераторов модульных кодов с суммированием взвешенных переходов с последовательностью весовых коэффициентов, образующей натуральный ряд чисел",2017 ,https://cyberleninka.ru/article//article/n/algoritmy-sinteza-generatorov-modulnyh-kodov-s-summirovaniem-vzveshennyh-perehodov-s-posledovatelnostyu-vesovyh-koeffitsientov," Сапожников Валерий Владимирович, Сапожников Владимирович Владимирович, Ефанов Дмитрий Викторович"
Применение статистических методов для математического описания бетатронов,1975 ,https://cyberleninka.ru/article//article/n/primenenie-statisticheskih-metodov-dlya-matematicheskogo-opisaniya-betatronov," М. С. Алейников, Н. С. Больных, В. А. Кочегуров, А. А. Новиков"
Введение новых операций в ЭЦВМ «Проминь»,1974 ,https://cyberleninka.ru/article//article/n/vvedenie-novyh-operatsiy-v-etsvm-promin," В. М. Рейдер, Г. Н. Тарусин"
Разработка модуля параметрического построения моделей на базе AutoCAD,2017 ,https://cyberleninka.ru/article//article/n/razrabotka-modulya-parametricheskogo-postroeniya-modeley-na-baze-autocad," Барабанов В.Ф., Гребенникова Н.И., Нужный А.М., Сафронов В.В."
Нейро-нечеткое прогнозирование прочности железобетонных изделий,2017 ,https://cyberleninka.ru/article//article/n/neyro-nechetkoe-prognozirovanie-prochnosti-zhelezobetonnyh-izdeliy," Ткалич С.А., Таратынов О.Ю."
Методика построения корректирующих циклических кодов для цифровых систем передачи и обработки информации,2017 ,https://cyberleninka.ru/article//article/n/metodika-postroeniya-korrektiruyuschih-tsiklicheskih-kodov-dlya-tsifrovyh-sistem-peredachi-i-obrabotki-informatsii," Матвеев Б.В., Середа В.А."
"Цифровой демодулятор «в целом» фазоманипулированных сигналов, кодированных последовательностями Уолша",2017 ,https://cyberleninka.ru/article//article/n/tsifrovoy-demodulyator-v-tselom-fazomanipulirovannyh-signalov-kodirovannyh-posledovatelnostyami-uolsha," Литвиненко В.П., Шафоростова А.А., Глушков А.Н., Макаров А.А."
Алгоритм построения сетевой модели разработки,1974 ,https://cyberleninka.ru/article//article/n/algoritm-postroeniya-setevoy-modeli-razrabotki, Ю. Н. Ефимов
"Программа кусочно-линейной аппроксимации функций, заданных формулой",1974 ,https://cyberleninka.ru/article//article/n/programma-kusochno-lineynoy-approksimatsii-funktsiy-zadannyh-formuloy, И. Г. Винтизенко
Двоично-десятичный сумматор-вычитатель для систем автоматического контроля,1974 ,https://cyberleninka.ru/article//article/n/dvoichno-desyatichnyy-summator-vychitatel-dlya-sistem-avtomaticheskogo-kontrolya," Н. П. Байда, Е. Б. Хилажев"
Принцип моделирования уличной сети города,1974 ,https://cyberleninka.ru/article//article/n/printsip-modelirovaniya-ulichnoy-seti-goroda," Е. Б. Хилажев, В. И. Малышкин, Н. П. Байда"
Методы оценки производительности вычислительных комплексов,2017 ,https://cyberleninka.ru/article//article/n/metody-otsenki-proizvoditelnosti-vychislitelnyh-kompleksov," Сорокин С.А., Чудинов С.М., Сорокин А.П., Болгова Е.В."
Аналитическая информационная Система как средство информационной поддержки системы организации и производства,2002 ,https://cyberleninka.ru/article//article/n/analiticheskaya-informatsionnaya-sistema-kak-sredstvo-informatsionnoy-podderzhki-sistemy-organizatsii-i-proizvodstva, А. Ф. Гершберг
Инструментальное обеспечение процесса эксплуатации систем организации и управления,2002 ,https://cyberleninka.ru/article//article/n/instrumentalnoe-obespechenie-protsessa-ekspluatatsii-sistem-organizatsii-i-upravleniya, А. Ф.  Гершберг
Архитектура и профили аналитической информационной системы,2002 ,https://cyberleninka.ru/article//article/n/arhitektura-i-profili-analiticheskoy-informatsionnoy-sistemy, В. А. Хачатурян
Основы применения интеллектуального анализа данных в задачах управления электроснабжением предприятия,2002 ,https://cyberleninka.ru/article//article/n/osnovy-primeneniya-intellektualnogo-analiza-dannyh-v-zadachah-upravleniya-elektrosnabzheniem-predpriyatiya, В. А. Хачатурян
Оптимизация применения средств космического дистанционного зондирования Земли для мониторинга окружающей среды и рационального природопользования в Уральском регионе,2002 ,https://cyberleninka.ru/article//article/n/optimizatsiya-primeneniya-sredstv-kosmicheskogo-distantsionnogo-zondirovaniya-zemli-dlya-monitoringa-okruzhayuschey-sredy-i," В. Г. Коберниченко, С. М. Зраенко, О. Ю. Иванов"
Концептуальные и системно-технические решения по созданию межотраслевой электронной библиотеки научно-технической информации по природопользованию и окружающей среде,2002 ,https://cyberleninka.ru/article//article/n/kontseptualnye-i-sistemno-tehnicheskie-resheniya-po-sozdaniyu-mezhotraslevoy-elektronnoy-biblioteki-nauchno-tehnicheskoy-informatsii," Г. В. Тягунов, Л. Г. Доросинский, А. Н. Подуст, Ю. В. Волбхина, Е. В. Мезенцева"
Использование метода инженерно-геологических аналогий для оценки свойств грунтов в инженерных сооружениях,2003 ,https://cyberleninka.ru/article//article/n/ispolzovanie-metoda-inzhenerno-geologicheskih-analogiy-dlya-otsenki-svoystv-gruntov-v-inzhenernyh-sooruzheniyah, Е. В. Мельник
Использование численных программ решения обратных гидрогеологических задач для обработки опытно-фильтрационных опробований,2003 ,https://cyberleninka.ru/article//article/n/ispolzovanie-chislennyh-programm-resheniya-obratnyh-gidrogeologicheskih-zadach-dlya-obrabotki-opytno-filtratsionnyh-oprobovaniy," К. А. Соловейчик, Л. Н. Синдаловский, П. К. Коносавский"
Некоторые модели комплексного исследования экологических систем,2003 ,https://cyberleninka.ru/article//article/n/nekotorye-modeli-kompleksnogo-issledovaniya-ekologicheskih-sistem," В. А. Бабешко, О. М. Ба6Ешко, М. В. Зарецкая, О. В. Евдокимова, С. М. Евдокимов, И. Б. Гладской, В. В. Грицай, О. В. Солодухин"
Информационно-аналитическая система мониторинга потенциально опасных объектов,2003 ,https://cyberleninka.ru/article//article/n/informatsionno-analiticheskaya-sistema-monitoringa-potentsialno-opasnyh-obektov," В. Г. Коберниченко, В. Л. Советкин, Г. В. Тягунов, Ю. Г. Ярошенко"
Обоснование и выбор аппаратной части для АСУ техническими средствами в ГПК,2017 ,https://cyberleninka.ru/article//article/n/obosnovanie-i-vybor-apparatnoy-chasti-dlya-asu-tehnicheskimi-sredstvami-v-gpk," Красных Владимир Юрьевич, Тумор Сергей Владимирович"
Компьютерная программа для морфометрического анализа двумерных цифровых изображений анатомических объектов - TDI Analizer,2009 ,https://cyberleninka.ru/article//article/n/kompyuternaya-programma-dlya-morfometricheskogo-analiza-dvumernyh-tsifrovyh-izobrazheniy-anatomicheskih-obektov-tdi-analizer," Томаш Д. С., Бешуля О. А."
Разработка учебного стенда на основе информационных таможенных систем,2017 ,https://cyberleninka.ru/article//article/n/razrabotka-uchebnogo-stenda-na-osnove-informatsionnyh-tamozhennyh-sistem," Антонова Елена Ивановна, Белоусова Татьяна Ивановна"
"Научно-образовательные компьютерные сети. Прошлое, настоящее и тенденции развития",2017 ,https://cyberleninka.ru/article//article/n/nauchno-obrazovatelnye-kompyuternye-seti-proshloe-nastoyaschee-i-tendentsii-razvitiya, Ижванов Юрий Львович
Разработка метрик сложности кода модуля тестов,2017 ,https://cyberleninka.ru/article//article/n/razrabotka-metrik-slozhnosti-koda-modulya-testov," Рудакова Галина Михайловна, Кожевников Дмитрий Олегович"
Принципы верификации информационных моделей и алгоритмов,2017 ,https://cyberleninka.ru/article//article/n/printsipy-verifikatsii-informatsionnyh-modeley-i-algoritmov, Павел Юрьевич Елсуков
Сетецентрическое управление и киберфизические системы,2017 ,https://cyberleninka.ru/article//article/n/setetsentricheskoe-upravlenie-i-kiberfizicheskie-sistemy," Кудж Станислав Алексеевич, Цветков Виктор Яковлевич"
Информационные взаимодействия в прикладной геоинформатике,2017 ,https://cyberleninka.ru/article//article/n/informatsionnye-vzaimodeystviya-v-prikladnoy-geoinformatike-1, Майоров Андрей Александрович
Неопределенность как фактор необходимости обновления баз данных,2017 ,https://cyberleninka.ru/article//article/n/neopredelennost-kak-faktor-neobhodimosti-obnovleniya-baz-dannyh, Матчин Василий Тимофеевич
"Application of the ""endless train"" method for the SDN controller OpenDayLight",2017 ,https://cyberleninka.ru/article//article/n/application-of-the-endless-train-method-for-the-sdn-controller-opendaylight, Skulysh M.A.
Оптимизация конфигурации сети поставок промышленных предприятий на основе вероятностной процессной модели,2016 ,https://cyberleninka.ru/article//article/n/optimizatsiya-konfiguratsii-seti-postavok-promyshlennyh-predpriyatiy-na-osnove-veroyatnostnoy-protsessnoy-modeli," Радаев Антон Евгеньевич, Кобзев Владимир Васильевич"
Экспериментальная оценка возможности использования алгоритма муравьиной колонии AntHocNet для решения задачи маршрутизации в FANET,2017 ,https://cyberleninka.ru/article//article/n/eksperimentalnaya-otsenka-vozmozhnosti-ispolzovaniya-algoritma-muravinoy-kolonii-anthocnet-dlya-resheniya-zadachi-marshrutizatsii-v, Леонов Алексей Викторович
Эффективная программная реализация обратного метода Маслова для интуиционистской логики,2017 ,https://cyberleninka.ru/article//article/n/effektivnaya-programmnaya-realizatsiya-obratnogo-metoda-maslova-dlya-intuitsionistskoy-logiki, Павлов Владимир Александрович
Алгортимы управления данными об уровне сигнала беспроводных сетей телематической карты транспортного средства,2016 ,https://cyberleninka.ru/article//article/n/algortimy-upravleniya-dannymi-ob-urovne-signala-besprovodnyh-setey-telematicheskoy-karty-transportnogo-sredstva," Востров Алексей Владимирович, Попов Сергей Геннадьевич, Шарагин Максим Павлович, Чуватов Михаил Владимирович"
Алгоритм программной параметризации объектов компьютерной томографии и его практическая реализация,2016 ,https://cyberleninka.ru/article//article/n/algoritm-programmnoy-parametrizatsii-obektov-kompyuternoy-tomografii-i-ego-prakticheskaya-realizatsiya," Лиманова Наталия Игоревна, Атаев Сергей Геннадьевич"
Исследование значения цветового решения в процессе гармонизации кинокадра,2016 ,https://cyberleninka.ru/article//article/n/issledovanie-znacheniya-tsvetovogo-resheniya-v-protsesse-garmonizatsii-kinokadra," Янчус Виктор Эдмундасович, Боревич Екатерина Владиславовна"
The vector rotor of second order as means of impruvement of tools for automation of image preprocessing,2017 ,https://cyberleninka.ru/article//article/n/the-vector-rotor-of-second-order-as-means-of-impruvement-of-tools-for-automation-of-image-preprocessing, Аlexander Trunov
Об организации параллельных вычислений средствами winsock и MPI на локальной сети,2017 ,https://cyberleninka.ru/article//article/n/ob-organizatsii-parallelnyh-vychisleniy-sredstvami-winsock-i-mpi-na-lokalnoy-seti," Олзоева Сэсэг Ивановна, Михайлов Евгений Леонидович"
Разработка интерфейса для системы сбора орнаментов,2017 ,https://cyberleninka.ru/article//article/n/razrabotka-interfeysa-dlya-sistemy-sbora-ornamentov," Хабитуев Баир Викторович, Никонов Алексей Александрович, Урмакшинова Елена Рониславовна, Кочева Татьяна Валерьевна"
Основы модели квазиоптимальных приближений изображения,2016 ,https://cyberleninka.ru/article//article/n/osnovy-modeli-kvazioptimalnyh-priblizheniy-izobrazheniya, Харинов Михаил Вячеславович
Анализ электрокардиограмм при помощи функций распознавания,2016 ,https://cyberleninka.ru/article//article/n/analiz-elektrokardiogramm-pri-pomoschi-funktsiy-raspoznavaniya," Антонова Лариса Васильевна, Данеев Александр Васильевич"
Технология создания и ведения муниципальной геоинформационной системы,2016 ,https://cyberleninka.ru/article//article/n/tehnologiya-sozdaniya-i-vedeniya-munitsipalnoy-geoinformatsionnoy-sistemy," Гаченко Андрей Сергеевич, Ружников Геннадий Михайлович, Хмельнов Алексей Евгеньевич, Новицкий Юрий Александрович, Фереферов Евгений Сергеевич"
Состояние и перспективы развития Интегрированной информационно-вычислительной сети Иркутского научно-образовательного комплекса,2016 ,https://cyberleninka.ru/article//article/n/sostoyanie-i-perspektivy-razvitiya-integrirovannoy-informatsionno-vychislitelnoy-seti-irkutskogo-nauchno-obrazovatelnogo-kompleksa," Маджара Тарас Игоревич, Ветров Александр Анатольевич"
"Теория типов, компьютерная алгебра, поддержка доказательств и грамматики",2016 ,https://cyberleninka.ru/article//article/n/teoriya-tipov-kompyuternaya-algebra-podderzhka-dokazatelstv-i-grammatiki, Федорченко Людмила Николаевна
"Технология моделирования распределенных систем, основанная на визуальном языке, и ее приложения",2004 ,https://cyberleninka.ru/article//article/n/tehnologiya-modelirovaniya-raspredelennyh-sistem-osnovannaya-na-vizualnom-yazyke-i-ee-prilozheniya, С. В. Востокин
Функциональное диагностирование транспортных систем по информационно-логическим схемам процессов,2004 ,https://cyberleninka.ru/article//article/n/funktsionalnoe-diagnostirovanie-transportnyh-sistem-po-informatsionno-logicheskim-shemam-protsessov, С. А. Никищенков
Проектирование интерфейса программного обеспечения с использованием элементов искусственного интеллекта,2017 ,https://cyberleninka.ru/article//article/n/proektirovanie-interfeysa-programmnogo-obespecheniya-s-ispolzovaniem-elementov-iskusstvennogo-intellekta," Т. М. Зубкова, Е. Н. Наточая"
Разработка системы хранения ансамблей нейросетевых моделей,2017 ,https://cyberleninka.ru/article//article/n/razrabotka-sistemy-hraneniya-ansambley-neyrosetevyh-modeley," Е. В. Пучков, С. Терехов"
Интеллектуальная поддержка принятия решений при диспетчировании технологических процессов в многономенклатурном машиностроении,2017 ,https://cyberleninka.ru/article//article/n/intellektualnaya-podderzhka-prinyatiya-resheniy-pri-dispetchirovanii-tehnologicheskih-protsessov-v-mnogonomenklaturnom," Г. Б. Бурдо, Н. А. Семенов"
Реализация методов обучения с подкреплением на основе темпоральных различий и мультиагентного подхода для интеллектуальных систем реального времени,2017 ,https://cyberleninka.ru/article//article/n/realizatsiya-metodov-obucheniya-s-podkrepleniem-na-osnove-temporalnyh-razlichiy-i-multiagentnogo-podhoda-dlya-intellektualnyh-sistem," А. П. Еремеев, А. А. Кожухов"
Моделирование воздействия атаки Black Hole на беспроводные сети,2017 ,https://cyberleninka.ru/article//article/n/modelirovanie-vozdeystviya-ataki-black-hole-na-besprovodnye-seti," В. В. Шахов, А. Н. Юргенсон, О. Д. Соколова"
Об одном подходе к реализации системы управления мастер-данными об активах,2017 ,https://cyberleninka.ru/article//article/n/ob-odnom-podhode-k-realizatsii-sistemy-upravleniya-master-dannymi-ob-aktivah," А. А. Сухобоков, В. И. Строгонова"
Построение моделей систем на базе эквациональной характеристики формул LTL,2017 ,https://cyberleninka.ru/article//article/n/postroenie-modeley-sistem-na-baze-ekvatsionalnoy-harakteristiki-formul-ltl," Ю. П. Кораблин, А. А. Шипов"
Описание цифровых схем с помощью ^-выражений,2016 ,https://cyberleninka.ru/article//article/n/opisanie-tsifrovyh-shem-s-pomoschyu-vyrazheniy," Ярышкина Наталья Владимировна, Могнонов Пётр Борисович"
Автоматический синтез цифровых схем по их функциональному описанию,2016 ,https://cyberleninka.ru/article//article/n/avtomaticheskiy-sintez-tsifrovyh-shem-po-ih-funktsionalnomu-opisaniyu," Ярышкина Наталья Владимировна, Могнонов Пётр Борисович"
Разработка информационных систем городского хозяйства на основе декларативных спецификаций,2016 ,https://cyberleninka.ru/article//article/n/razrabotka-informatsionnyh-sistem-gorodskogo-hozyaystva-na-osnove-deklarativnyh-spetsifikatsiy," Фереферов Евгений Сергеевич, Хмельнов Алексей Евгеньевич, Еаченко Андрей Сергеевич"
Использование формулы Байеса при оценивании выполнения практик модели CMMI®,2017 ,https://cyberleninka.ru/article//article/n/ispolzovanie-formuly-bayesa-pri-otsenivanii-vypolneniya-praktik-modeli-cmmi," Г. И. Кожомбердиева, Д. П. Бураков, М. И. Гарина"
Многопроцессорная обработка в задаче пространственной реконструкции по множеству видов,2017 ,https://cyberleninka.ru/article//article/n/mnogoprotsessornaya-obrabotka-v-zadache-prostranstvennoy-rekonstruktsii-po-mnozhestvu-vidov," В. А. Бобков, А. П. Кудряшов, С. В. Мельман"
Редактирование и внесение информации в XML-документы автоматизированных информационных систем,2017 ,https://cyberleninka.ru/article//article/n/redaktirovanie-i-vnesenie-informatsii-v-xml-dokumenty-avtomatizirovannyh-informatsionnyh-sistem," А. Н. Трусов, П. Ю. Иванченко, Д. А. Кацуро"
Методы автоматической классификации текстов,2017 ,https://cyberleninka.ru/article//article/n/metody-avtomaticheskoy-klassifikatsii-tekstov, Т. В. Батура
Методы автоматизированного анализа коротких неструктурированных текстовых документов,2017 ,https://cyberleninka.ru/article//article/n/metody-avtomatizirovannogo-analiza-korotkih-nestrukturirovannyh-tekstovyh-dokumentov, П. Ю. Козлов
Использование геометрии сцены для увеличения точности детекторов,2017 ,https://cyberleninka.ru/article//article/n/ispolzovanie-geometrii-stseny-dlya-uvelicheniya-tochnosti-detektorov," Е. В. Шальнов, А. С. Конушин"
Программный агент определения психологического состояния обучаемого в системах дистанционного обучения,2017 ,https://cyberleninka.ru/article//article/n/programmnyy-agent-opredeleniya-psihologicheskogo-sostoyaniya-obuchaemogo-v-sistemah-distantsionnogo-obucheniya," Е. Л. Хрянин, А. Н. Швецов"
Алгоритм детектирования объектов на фотоснимках с низким качеством изображения,2017 ,https://cyberleninka.ru/article//article/n/algoritm-detektirovaniya-obektov-na-fotosnimkah-s-nizkim-kachestvom-izobrazheniya, А. С. Викторов
Разработка и внедрение модели прогнозирования цветового отклонения полимерного покрытия оцинкованной полосы,2017 ,https://cyberleninka.ru/article//article/n/razrabotka-i-vnedrenie-modeli-prognozirovaniya-tsvetovogo-otkloneniya-polimernogo-pokrytiya-otsinkovannoy-polosy," В. М. Осколков, И. А. Варфоломеев, Л. Н. Виноградова, Е. В. Ершов"
FRIS Language Service for Extended Fortran Support in Microsoft Visual Studio,2015 ,https://cyberleninka.ru/article//article/n/fris-language-service-for-extended-fortran-support-in-microsoft-visual-studio-1, I. S. Ratkevich
Visual Parallel Programming as PaaS Cloud Service with Graph-Symbolic Programming Technology,2015 ,https://cyberleninka.ru/article//article/n/visual-parallel-programming-as-paas-cloud-service-with-graph-symbolic-programming-technology-1," Darya Egorova, Victor Zhidchenko"
Использование функциональных грамматик в концептуальном программировании,2016 ,https://cyberleninka.ru/article//article/n/ispolzovanie-funktsionalnyh-grammatik-v-kontseptualnom-programmirovanii," Кравченко Вячеслав Александрович, Ширапов Дашадондок Шагдарович, Олзоева Сэсэг Ивановна"
"Рекомендации по проведению, описанию, редактированию и публикации результатов научной работы в медицинских журналах",2017 ,https://cyberleninka.ru/article//article/n/rekomendatsii-po-provedeniyu-opisaniyu-redaktirovaniyu-i-publikatsii-rezultatov-nauchnoy-raboty-v-meditsinskih-zhurnalah, 
Интеграция геологической информации и решение задач разработки,2001 ,https://cyberleninka.ru/article//article/n/integratsiya-geologicheskoy-informatsii-i-reshenie-zadach-razrabotki, В. В. Низамов
Оценка эффективности мотивационных мер управления персоналом,2015 ,https://cyberleninka.ru/article//article/n/otsenka-effektivnosti-motivatsionnyh-mer-upravleniya-personalom," Ажмухамедов А.И., Проталинский О.М."
Метод обучения слоёв свёртки в искусственной нейронной сети с помощью ограниченной машины Больцмана,2015 ,https://cyberleninka.ru/article//article/n/metod-obucheniya-sloyov-svyortki-v-iskusstvennoy-neyronnoy-seti-s-pomoschyu-ogranichennoy-mashiny-boltsmana," Абросимов М.А., Бровко А.В."
Разработка информационно измерительных систем для комплексов дистанционного обучения с обратной связью на основе фотограмметрических методов и статусных функций. Часть 1,2015 ,https://cyberleninka.ru/article//article/n/razrabotka-informatsionno-izmeritelnyh-sistem-dlya-kompleksov-distantsionnogo-obucheniya-s-obratnoy-svyazyu-na-osnove," Вешнева И.В., Мельников Л.А., Сингатулин Р.А."
Разработка информационно-образовательных комплексов системы дистанционного обучения с обратной связью на основе фотограмметрических методов и статусных функций. Часть 2,2015 ,https://cyberleninka.ru/article//article/n/razrabotka-informatsionno-obrazovatelnyh-kompleksov-sistemy-distantsionnogo-obucheniya-s-obratnoy-svyazyu-na-osnove," Вешнева И.В., Сингатулин Р.А."
О создании инструментов изучения семантического веба,2015 ,https://cyberleninka.ru/article//article/n/o-sozdanii-instrumentov-izucheniya-semanticheskogo-veba," Сытник А.А., Вагарина Н.С., Мельникова Н.И., Шульга Т.Э., Апсаликов М.Ю."
Исследование адаптивности программного обеспечения на основе применения математических моделей функционально избыточных дискретных систем,2015 ,https://cyberleninka.ru/article//article/n/issledovanie-adaptivnosti-programmnogo-obespecheniya-na-osnove-primeneniya-matematicheskih-modeley-funktsionalno-izbytochnyh," Шульга Т.Э., Сластихина М.Д."
Выбор и реализация программно-аппаратного комплекса для вывода массива изображений в стенде объемной визуализации,2015 ,https://cyberleninka.ru/article//article/n/vybor-i-realizatsiya-programmno-apparatnogo-kompleksa-dlya-vyvoda-massiva-izobrazheniy-v-stende-obemnoy-vizualizatsii," Большаков А.А., Сгибнев А.А."
Экспериментальные исследования технологии моделирования геопространства по материалам аэрофотосъемки,2016 ,https://cyberleninka.ru/article//article/n/eksperimentalnye-issledovaniya-tehnologii-modelirovaniya-geoprostranstva-po-materialam-aerofotosemki," Хлебникова Татьяна Александровна, Опритова Ольга Анатольевна"
Систематизация и выбор методов распознавания поверхности для автоматизированной информационной системы мониторинга зернохранилища,2016 ,https://cyberleninka.ru/article//article/n/sistematizatsiya-i-vybor-metodov-raspoznavaniya-poverhnosti-dlya-avtomatizirovannoy-informatsionnoy-sistemy-monitoringa," Кошеков Кайрат Темирбаевич, Астапенко Наталья Владимировна"
Технологии обработки данных дистанционного зондирования Земли на гибридном кластере нкс-30т+GPU,2016 ,https://cyberleninka.ru/article//article/n/tehnologii-obrabotki-dannyh-distantsionnogo-zondirovaniya-zemli-na-gibridnom-klastere-nks-30t-gpu, Русин Евгений Владимирович
Облачные вычисления в обработке данных дистанционного зондирования Земли,2016 ,https://cyberleninka.ru/article//article/n/oblachnye-vychisleniya-v-obrabotke-dannyh-distantsionnogo-zondirovaniya-zemli," Бучнев Алексей Александрович, Ким Павел Алексеевич, Пяткин Валерий Павлович"
Спектрально-текстурная классификация гиперспектральных изображений высокого пространственного разрешения,2016 ,https://cyberleninka.ru/article//article/n/spektralno-teksturnaya-klassifikatsiya-giperspektralnyh-izobrazheniy-vysokogo-prostranstvennogo-razresheniya," Рылов Сергей Александрович, Мельников Павел Владимирович, Пестунов Игорь Алексеевич"
Организация портала знаний «Активная сейсмология»,2016 ,https://cyberleninka.ru/article//article/n/organizatsiya-portala-znaniy-aktivnaya-seysmologiya," Брагинская Людмила Петровна, Григорюк Андрей Павлович, Загорулько Галина Борисовна"
Технология формирования и анализа данных здоровья населения Азиатского Севера,2016 ,https://cyberleninka.ru/article//article/n/tehnologiya-formirovaniya-i-analiza-dannyh-zdorovya-naseleniya-aziatskogo-severa," Парамонов Вячеслав Владимирович, Фёдоров Роман Константинович, Ружников Геннадий Михайлович, Ефимова Наталья Васильевна"
